"행정구역별(1)",행정구역별(2),행정구역별(3),2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(1)",행정구역별(2),행정구역별(3),세대수 (세대),인구 (명),인구 (명),인구 (명),구성비 (%),세대당 인구수 (명),인구밀도 (명/㎢),면적 (㎢)
"행정구역별(1)",행정구역별(2),행정구역별(3),소계,소계,남,여,소계,소계,소계,소계
"전라북도",소계,소계,855849,1769607,880592,889015,100.0,2.07,219.2,8072.1
"시",소계,소계,687027,1452143,720476,731667,82.1,2.11,468.3,3101.2
"시",전주시,소계,296241,651495,320265,331230,36.8,2.20,3162.6,206.0
"시",전주시,완산구,153551,332573,161835,170738,18.8,2.17,3595.4,92.5
"시",전주시,덕진구,142690,318922,158430,160492,18.0,2.24,2809.9,113.5
"시",군산시,소계,123176,262467,132887,129580,14.8,2.13,660.4,397.5
"시",익산시,소계,130068,273697,136330,137367,15.5,2.10,540.3,506.6
"시",정읍시,소계,54528,105081,52272,52809,5.9,1.93,151.6,693.1
"시",남원시,소계,39799,77948,38246,39702,4.4,1.96,103.6,752.2
"시",김제시,소계,43215,81455,40476,40979,4.6,1.88,149.2,545.9
"군",소계,소계,168822,317464,160116,157348,17.9,1.88,63.9,4970.9
"군",완주군,소계,45356,92422,47529,44893,5.2,2.04,112.6,821.1
"군",진안군,소계,13513,24550,12496,12054,1.4,1.82,31.1,789.1
"군",무주군,소계,12932,23489,11731,11758,1.3,1.82,37.2,632.0
"군",장수군,소계,11611,21336,10718,10618,1.2,1.84,40.0,533.2
"군",임실군,소계,14992,26508,13586,12922,1.5,1.77,44.4,597.2
"군",순창군,소계,14132,26727,13138,13589,1.5,1.89,53.9,495.9
"군",고창군,소계,28592,52338,26005,26333,3.0,1.83,86.2,607.5
"군",부안군,소계,27694,50094,24913,25181,2.8,1.81,101.2,495.0
